sort,species,rep,volume1,volume2,volume3,volume4,volume,weight,density,site,balance,method,use,notes,
1,BAER,1,0.0922,0.0958,0.0921,,0.0934,0.04778,0.51,Basin2005,Mettler,pipette_suspension,,,
2,BAER,2,0.354,0.3575,0.343,,0.3515,0.20458,0.58,Basin2005,Mettler,pipette_suspension,,,
3,BAER,3,0.1816,0.17,0.178,,0.1765,0.0897,0.51,Basin2005,Mettler,pipette_suspension,,,
52,BAER,11,0.6512,0.6491,0.652,,0.6508,0.4137,0.64,Waratah2003,Mettler,tweezer,use,,
53,BAER,12,0.191,0.1919,0.1918,,0.1916,0.1132,0.59,Waratah2003,Mettler,tweezer,use,,
54,BAER,13,0.5476,0.548,0.5484,,0.548,0.2961,0.54,Waratah2003,Mettler,tweezer,use,,
55,BAER,14,0.5581,0.5608,0.56,,0.5596,0.3246,0.58,Waratah2003,Mettler,tweezer,use,,
4,BOLE,1,0.0958,0.1006,0.1052,,0.1005,0.06394,0.64,Basin2005,Mettler,pipette_suspension,,,
5,BOLE,2,0.1455,0.1364,0.1446,,0.1422,0.093,0.65,Basin2005,Mettler,pipette_suspension,,,
6,BOLE,3,0.1603,0.1699,0.1717,,0.1673,0.12256,0.73,Basin2005,Mettler,pipette_suspension,,,
56,BOLE,11,0.2957,0.2947,0.2945,,0.295,0.2476,0.84,Basin2005,Mettler,tweezer,use,,
57,BOLE,12,0.0432,0.0435,0.0436,,0.0434,0.0382,0.88,Basin2005,Mettler,tweezer,use,,
58,BOLE,13,0.1584,0.1595,0.1599,,0.1593,0.1356,0.85,Basin2005,Mettler,tweezer,use,,
59,BOLE,14,0.1902,0.1913,0.1911,,0.1909,0.1645,0.86,Basin2005,Mettler,tweezer,use,,
7,COER,1,0.0425,0.0527,0.0482,,0.0478,0.0206,0.43,Basin2005,Mettler,pipette_suspension,,,
8,COER,2,0.048,0.0542,0.0516,,0.0513,0.01984,0.39,Basin2005,Mettler,pipette_suspension,,,
9,COER,3,0.0793,0.079,0.0875,,0.0819,0.04232,0.52,Basin2005,Mettler,pipette_suspension,,,
10,COER,1,0.0245,0.0246,,,0.0246,0.0184,0.75,Waratah2003,Sartorius,pipette_suspension,,,
11,COER,2,0.0294,0.0302,,,0.0298,0.0243,0.82,Waratah2003,Sartorius,pipette_suspension,,,
12,COER,3,0.0505,0.0508,,,0.0507,0.0388,0.77,Waratah2003,Sartorius,pipette_suspension,,,
60,COER,11,0.139,0.1402,0.1407,,0.14,0.1144,0.82,Waratah2003,Mettler,tweezer,use,"if odd, look at env for alt volumes",
61,COER,12,0.2041,0.2057,0.2061,,0.2053,0.1548,0.75,Waratah2003,Mettler,tweezer,use,,
