species,site,individual,age,segment,start_end,diameter,stem_area,height,shed_weight,leaf_weight,stem_weight,total_weight
BAER,baby,BAER_B-01,0.1,1,start,1.6566666666666665,2.155560166029336,107,0,327,73.5,400.5
BAER,baby,BAER_B-02,0.1,1,start,1.8483333333333334,2.6831841072150477,147,0,525.1,98.1,623.2
BAER,baby,BAER_B-03,0.1,1,start,1.6166666666666667,2.052725366501831,98,0,330.5,67.9,398.4
BAER,baby,BAER_B-04,0.1,1,start,1.83,2.6302199094017147,64,0,153.8,51.4,205.20000000000002
BAER,baby,BAER_B-05,0.1,1,start,0.9433333333333334,0.6989083723148692,28,0,54.9,17.3,72.2
BAER,baby,BAER_B-06,0.1,1,start,1.6633333333333333,2.1729436453792004,143,0,395.6,93.2,488.8
BAER,baby,BAER_B-09,0.1,1,start,1.52,1.8145839167134645,81,0,151.2,38.6,189.79999999999998
BAER,baby,BAER_B-099,0.1,1,start,1.335,1.3997562417610172,82,0,159.8,37.6,197.4
BAER,baby,BAER_B-10,0.1,1,start,1.4449999999999998,1.6399310001279566,138,0,477.6,107.8,585.4
BAER,Basin1981,BAER_901,32,1,start,54.19,2306.365767653573,2720,0,NA,NA,NA
BAER,Basin1981,BAER_901,32,1,end,60.873333333333335,2910.342147660736,2790,0,595277.9,2081500,2676777.9
BAER,Basin1981,BAER_901,32,2,start,29.44,680.7152696315907,NA,0,NA,NA,NA
BAER,Basin1981,BAER_901,32,2,end,34.12,914.3404356343262,NA,0,552437.9,1106590,1659027.9
BAER,Basin1981,BAER_901,32,3,start,18.68,274.0587200914977,NA,0,NA,NA,NA
BAER,Basin1981,BAER_901,32,3,end,21.9,376.68481314705014,NA,0,201047.9,321410,522457.9
BAER,Basin1981,BAER_901,32,4,start,8.86,61.65344166743432,NA,0,NA,NA,NA
BAER,Basin1981,BAER_901,32,4,end,12.41,120.95767888833056,NA,0,58807.9,66980,125787.9
BAER,Basin1981,BAER_901,32,5,start,4.31,14.589634823087337,NA,0,NA,NA,NA
BAER,Basin1981,BAER_901,32,5,end,6.16,29.802404549014213,NA,0,12177.900000000001,8000,20177.9
BAER,Basin1981,BAER_901,32,6,start,2.33,4.263848089268407,NA,0,NA,NA,NA
BAER,Basin1981,BAER_901,32,6,end,3.66,10.520879637606859,NA,0,3976.7,2220,6196.7
BAER,Basin1981,BAER_902,32,1,start,42.93,1447.47695562923,2230,0,NA,NA,NA
BAER,Basin1981,BAER_902,32,1,end,49.73,1942.346913608001,2250,0,295278,1108649.3,1403927.3
BAER,Basin1981,BAER_902,32,2,start,20.5,330.0635781677776,NA,0,NA,NA,NA
BAER,Basin1981,BAER_902,32,2,end,24.11,456.5457477374458,NA,0,202828,377129.3,579957.3
BAER,Basin1981,BAER_902,32,3,start,9.78,75.12207769190448,NA,0,NA,NA,NA
BAER,Basin1981,BAER_902,32,3,end,12.6,124.68981242097888,NA,0,68118,74319.3,142437.3
BAER,Basin1981,BAER_902,32,4,start,3.18,7.942260387540356,NA,0,NA,NA,NA
BAER,Basin1981,BAER_902,32,4,end,5.14,20.74990531769522,NA,0,7218,4959.3,12177.3
BAER,Basin1981,BAER_902,32,5,start,1.55,1.8869190875623698,NA,0,NA,NA,NA
BAER,Basin1981,BAER_902,32,5,end,2.98,6.9746498502347,NA,0,2142,1119.3,3261.3
BAER,Basin1981,BAER_903,32,1,start,23.93,449.75425273891545,2150,0,NA,NA,NA
BAER,Basin1981,BAER_903,32,1,end,25.29,502.32817747820985,2090,0,102546.8,393178.2,495725
